Species,Component,a,b,c,Reference
Deciduous,Bark,0.009,1.8677,0.7144,Ung 2008
Deciduous,Branches,0.0448,2.6855,-0.5911,Ung 2008
Deciduous,Foliage,0.0869,1.8541,-0.5491,Ung 2008
Deciduous,Wood,0.0353,2.0249,0.7048,Ung 2008
Conifers,Bark,0.0101,1.8486,0.5525,Ung 2008
Conifers,Branches,0.0313,2.9974,-1.0383,Ung 2008
Conifers,Foliage,0.1379,2.3981,-1.0418,Ung 2008
Conifers,Wood,0.0276,1.6868,1.0953,Ung 2008
All,Bark,0.012,1.6378,0.7746,Ung 2008
All,Branches,0.0338,2.6624,-0.5743,Ung 2008
All,Foliage,0.1699,2.3289,-1.1316,Ung 2008
All,Wood,0.0283,1.8298,0.9546,Ung 2008
Balsam fir,Bark,0.0053,2.0876,0.5842,Lambert 2005
Balsam fir,Branches,0.0117,3.5097,-1.3006,Lambert 2005
Balsam fir,Foliage,0.1245,2.523,-1.123,Lambert 2005
Balsam fir,Wood,0.0294,1.8357,0.864,Lambert 2005
Balsam poplar,Bark,0.018,1.8131,0.5144,Lambert 2005
Balsam poplar,Branches,0.0112,3.0861,-0.7164,Lambert 2005
Balsam poplar,Foliage,0.0617,1.8615,-0.5375,Lambert 2005
Balsam poplar,Wood,0.0117,1.7757,1.2555,Lambert 2005
Basswood,Bark,0.0057,1.5881,1.1472,Lambert 2005
Basswood,Branches,0.0039,2.0084,0.8588,Lambert 2005
Basswood,Foliage,0.0147,1.83,0,Lambert 2005
Basswood,Wood,0.0168,1.9844,0.8989,Lambert 2005
American beech,Bark,0.0049,1.9057,0.677,Lambert 2005
American beech,Branches,0.0355,2.3749,0,Lambert 2005
American beech,Foliage,0.0452,1.5567,0,Lambert 2005
American beech,Wood,0.0432,2.0378,0.7,Lambert 2005
Black ash,Bark,0.0897,2.2634,-0.567,Lambert 2005
Black ash,Branches,0.0994,2.163,-0.4809,Lambert 2005
Black ash,Foliage,0.0124,1.0325,0.8747,Lambert 2005
Black ash,Wood,0.0306,2.1836,0.574,Lambert 2005
Black cherry,Bark,0.0101,1.5956,0.919,Lambert 2005
Black cherry,Branches,0.0005,2.8004,0.8603,Lambert 2005
Black cherry,Foliage,0.1976,1.4421,-0.5264,Lambert 2005
Black cherry,Wood,0.0181,1.7013,1.3057,Lambert 2005
Black spruce,Bark,0.0132,1.7657,0.5775,Ung 2008
Black spruce,Branches,0.0405,3.1917,-1.3674,Ung 2008
Black spruce,Foliage,0.2078,2.5517,-1.3453,Ung 2008
Black spruce,Wood,0.0335,1.7389,0.9835,Ung 2008
Douglas fir,Bark,0.0083,2.4811,0,Ung 2008
Douglas fir,Branches,0.0351,2.2421,0,Ung 2008
Douglas fir,Foliage,0.0718,2.2935,-0.4744,Ung 2008
Douglas fir,Wood,0.0191,1.5365,1.3634,Ung 2008
Eastern hemlock,Bark,0.0118,1.9893,0.47,Lambert 2005
Eastern hemlock,Branches,0.0215,2.6553,-0.4682,Lambert 2005
Eastern hemlock,Foliage,0.1471,2.0108,-0.608,Lambert 2005
Eastern hemlock,Wood,0.0257,1.9277,0.8576,Lambert 2005
Eastern white cedar,Bark,0.0076,1.7861,0.6132,Lambert 2005
Eastern white cedar,Branches,0.0501,2.5165,-0.8774,Lambert 2005
Eastern white cedar,Foliage,0.0813,2.218,-0.7907,Lambert 2005
Eastern white cedar,Wood,0.0295,1.7026,0.9428,Lambert 2005
Eastern white pine,Bark,0.0069,1.6589,0.9582,Lambert 2005
Eastern white pine,Branches,0.0184,3.1968,-1.0876,Lambert 2005
Eastern white pine,Foliage,0.0584,2.2389,-0.5968,Lambert 2005
Eastern white pine,Wood,0.017,1.7779,1.137,Lambert 2005
Engelmann spruce,Bark,0.0086,1.6216,0.8192,Ung 2008
Engelmann spruce,Branches,0.0428,2.7965,-0.7328,Ung 2008
Engelmann spruce,Foliage,0.0854,2.4388,-0.763,Ung 2008
Engelmann spruce,Wood,0.0133,1.3303,1.6877,Ung 2008
Grey birch,Bark,0.0148,1.8433,0.5021,Lambert 2005
Grey birch,Branches,0.015,3.0347,-0.7629,Lambert 2005
Grey birch,Foliage,0.0455,2.6447,-1.4955,Lambert 2005
Grey birch,Wood,0.0295,1.9064,0.9139,Lambert 2005
Hickory,Bark,0.0081,1.4943,1.1324,Lambert 2005
Hickory,Branches,0.005,3.0463,0,Lambert 2005
Hickory,Foliage,0.0121,2.0865,0,Lambert 2005
Hickory,Wood,0.0139,1.5913,1.508,Lambert 2005
Hop-Hornbeam,Bark,0.0012,1.1486,2.2903,Lambert 2005
Hop-Hornbeam,Branches,0.0009,1.9152,1.7769,Lambert 2005
Hop-Hornbeam,Foliage,0.0247,2.0056,0,Lambert 2005
Hop-Hornbeam,Wood,0.0083,1.6534,1.7479,Lambert 2005
Jack pine,Bark,0.0141,1.5994,0.5957,Lambert 2005
Jack pine,Branches,0.0185,3.0584,-0.9816,Lambert 2005
Jack pine,Foliage,0.0325,1.7879,0,Lambert 2005
Jack pine,Wood,0.0199,1.6883,1.2456,Lambert 2005
Largetooth aspen,Bark,0.024,2.3055,0,Lambert 2005
