Species,Component,a,b,Reference
Deciduous,Bark,0.0226,2.2151,Ung 2008
Deciduous,Branches,0.0186,2.4462,Ung 2008
Deciduous,Foliage,0.0385,1.6255,Ung 2008
Deciduous,Wood,0.0864,2.3715,Ung 2008
Conifers,Bark,0.0153,2.211,Ung 2008
Conifers,Branches,0.0194,2.2408,Ung 2008
Conifers,Foliage,0.0935,1.6106,Ung 2008
Conifers,Wood,0.0564,2.4347,Ung 2008
All,Bark,0.0182,2.2181,Ung 2008
All,Branches,0.0227,2.2797,Ung 2008
All,Foliage,0.0764,1.5861,Ung 2008
All,Wood,0.0741,2.3875,Ung 2008
Balsam fir,Bark,0.0115,2.3484,Lambert 2005
Balsam fir,Branches,0.007,2.5406,Lambert 2005
Balsam fir,Foliage,0.084,1.6695,Lambert 2005
Balsam fir,Wood,0.0534,2.403,Lambert 2005
Balsam poplar,Bark,0.0297,2.1131,Lambert 2005
Balsam poplar,Branches,0.012,2.4165,Lambert 2005
Balsam poplar,Foliage,0.0276,1.6215,Lambert 2005
Balsam poplar,Wood,0.051,2.4529,Lambert 2005
Basswood,Bark,0.0302,2.0976,Lambert 2005
Basswood,Branches,0.023,2.2382,Lambert 2005
Basswood,Foliage,0.0288,1.6378,Lambert 2005
Basswood,Wood,0.0562,2.4102,Lambert 2005
American beech,Bark,0.012,2.2388,Lambert 2005
American beech,Branches,0.037,2.368,Lambert 2005
American beech,Foliage,0.0376,1.6164,Lambert 2005
American beech,Wood,0.1478,2.2986,Lambert 2005
Black ash,Bark,0.0323,2.0761,Lambert 2005
Black ash,Branches,0.0448,1.9771,Lambert 2005
Black ash,Foliage,0.0538,1.3584,Lambert 2005
Black ash,Wood,0.0941,2.3491,Lambert 2005
Black cherry,Bark,0.0679,1.8377,Lambert 2005
Black cherry,Branches,0.0796,2.0103,Lambert 2005
Black cherry,Foliage,0.084,1.2319,Lambert 2005
Black cherry,Wood,0.3743,1.9406,Lambert 2005
Black spruce,Bark,0.0148,2.2494,Ung 2008
Black spruce,Branches,0.0291,2.0751,Ung 2008
Black spruce,Foliage,0.1631,1.4222,Ung 2008
Black spruce,Wood,0.0494,2.5025,Ung 2008
Douglas fir,Bark,0.0069,2.5462,Ung 2008
Douglas fir,Branches,0.0404,2.1388,Ung 2008
Douglas fir,Foliage,0.1233,1.6636,Ung 2008
Douglas fir,Wood,0.0204,2.6974,Ung 2008
Eastern hemlock,Bark,0.0139,2.3282,Lambert 2005
Eastern hemlock,Branches,0.0217,2.2653,Lambert 2005
Eastern hemlock,Foliage,0.0776,1.6995,Lambert 2005
Eastern hemlock,Wood,0.0619,2.3821,Lambert 2005
Eastern white cedar,Bark,0.0114,2.1432,Lambert 2005
Eastern white cedar,Branches,0.0335,1.9367,Lambert 2005
Eastern white cedar,Foliage,0.0499,1.7278,Lambert 2005
Eastern white cedar,Wood,0.0654,2.2121,Lambert 2005
Eastern white pine,Bark,0.0192,2.2038,Lambert 2005
Eastern white pine,Branches,0.0056,2.6011,Lambert 2005
Eastern white pine,Foliage,0.0284,1.9375,Lambert 2005
Eastern white pine,Wood,0.0997,2.2709,Lambert 2005
Engelmann spruce,Bark,0.0118,2.2733,Ung 2008
Engelmann spruce,Branches,0.0336,2.2123,Ung 2008
Engelmann spruce,Foliage,0.0683,1.8022,Ung 2008
Engelmann spruce,Wood,0.0223,2.7169,Ung 2008
Grey birch,Bark,0.0168,2.2569,Lambert 2005
Grey birch,Branches,0.0088,2.5689,Lambert 2005
Grey birch,Foliage,0.0099,1.8985,Lambert 2005
Grey birch,Wood,0.072,2.3885,Lambert 2005
Hickory,Bark,0.0365,2.1133,Lambert 2005
Hickory,Branches,0.0087,2.8927,Lambert 2005
Hickory,Foliage,0.0173,1.983,Lambert 2005
Hickory,Wood,0.2116,2.2013,Lambert 2005
Hop-Hornbeam,Bark,0.0671,1.5911,Lambert 2005
Hop-Hornbeam,Branches,0.0278,2.1336,Lambert 2005
Hop-Hornbeam,Foliage,0.0293,1.9502,Lambert 2005
Hop-Hornbeam,Wood,0.1929,1.9672,Lambert 2005
Jack pine,Bark,0.0184,2.0703,Lambert 2005
Jack pine,Branches,0.0079,2.4155,Lambert 2005
Jack pine,Foliage,0.0389,1.729,Lambert 2005
Jack pine,Wood,0.0804,2.4041,Lambert 2005
Largetooth aspen,Bark,0.0308,2.224,Lambert 2005
Largetooth aspen,Branches,0.0047,2.653,Lambert 2005
Largetooth aspen,Foliage,0.008,2.0149,Lambert 2005
Largetooth aspen,Wood,0.0959,2.343,Lambert 2005
Lodgepole pine,Bark,0.0144,2.1768,Ung 2008
Lodgepole pine,Branches,0.0209,2.1772,Ung 2008
Lodgepole pine,Foliage,0.0584,1.6432,Ung 2008
Lodgepole pine,Wood,0.0323,2.6825,Ung 2008
Pacific silver fir,Bark,0.0057,2.4786,Ung 2008
Pacific silver fir,Branches,0.0322,2.1313,Ung 2008
Pacific silver fir,Foliage,0.0645,1.94,Ung 2008
Pacific silver fir,Wood,0.0424,2.4289,Ung 2008
Red alder and Black cottonwood,Bark,0.0074,2.4442,Ung 2008
Red alder and Black cottonwood,Branches,0.0086,2.7326,Ung 2008
Red alder and Black cottonwood,Foliage,0.0114,2.086,Ung 2008
Red alder and Black cottonwood,Wood,0.046,2.4312,Ung 2008
Red ash,Bark,0.0416,2.0509,Lambert 2005
Red ash,Branches,0.0177,2.337,Lambert 2005
Red ash,Foliage,0.1041,1.2185,Lambert 2005
Red ash,Wood,0.1571,2.1817,Lambert 2005
Red Maple,Bark,0.0291,2.0893,Lambert 2005
Red Maple,Branches,0.0175,2.4846,Lambert 2005
Red Maple,Foliage,0.0515,1.5198,Lambert 2005
Red Maple,Wood,0.1014,2.3448,Lambert 2005
Red oak,Bark,0.0381,2.0991,Lambert 2005
Red oak,Branches,0.0085,2.779,Lambert 2005
Red oak,Foliage,0.0373,1.674,Lambert 2005
Red oak,Wood,0.1754,2.1616,Lambert 2005
Red pine,Bark,0.0188,2.0527,Lambert 2005
Red pine,Branches,0.0033,2.7515,Lambert 2005
Red pine,Foliage,0.0212,2.069,Lambert 2005
Red pine,Wood,0.0564,2.4465,Lambert 2005
Red spruce,Bark,0.022,2.0908,Lambert 2005
Red spruce,Branches,0.0005,3.275,Lambert 2005
Red spruce,Foliage,0.0066,2.4213,Lambert 2005
Red spruce,Wood,0.0989,2.2814,Lambert 2005
Silver maple,Bark,0.0278,2.0433,Lambert 2005
Silver maple,Branches,0.0028,3.102,Lambert 2005
Silver maple,Foliage,0.143,1.258,Lambert 2005
Silver maple,Wood,0.2324,2.1,Lambert 2005
Sitka spruce,Bark,0.0066,2.4433,Ung 2008
Sitka spruce,Branches,0.0739,1.8342,Ung 2008
Sitka spruce,Foliage,0.0157,2.3113,Ung 2008
Sitka spruce,Wood,0.0302,2.5776,Ung 2008
Subalpine fir,Bark,0.0061,2.5375,Ung 2008
Subalpine fir,Branches,0.0178,2.4255,Ung 2008
Subalpine fir,Foliage,0.0416,2.013,Ung 2008
