author,loc,spcd,treeno,branch_id,status,ht,ob_d,len,lenh,lenv,lenmeth,wdbk_gw_sub,wd_gw_sub,bk_gw_sub,wdbk_dw_sub,wd_dw_sub,bk_dw_sub,ind_sub,wdbk_mc_sub,wd_mc_sub,bk_mc_sub,fol_gw_sub,fol_dw_sub,fol_mc_sub,wdbkf_gw,wdbk_gw,wd_gw,bk_gw,fol_gw,wdbk_dw,wdbk_dw_1,wd_dw,bk_dw,fol_dw,cen
Baldwin,1,131,1,1,1,46.5,1.9,9.9,,,,37.47,28.25,4.47,,14.16,2.34,2,,99.5056497175141,91.025641025641,117.24,52.36,123.911382734912,11.8,8,6.03149186015479,6.03149186015479,3.8,5.75081273475477,5.75081273475477,4.05371276887282,1.03049419401293,1.69709996588195,2
Baldwin,1,131,1,2,1,50.5,1.5,10.1,,,,71.95,56.81,7.14,,29.5,4.1,2,,92.5762711864407,74.1463414634146,144.23,65.86,118.994837534163,5.4,4,3.15830437804031,3.15830437804031,1.4,2.7626388909171,2.7626388909171,2.12335441473323,0.483326617651925,0.639284476183873,2
Baldwin,1,131,1,3,1,56.5,2,11.3,,,,79.81,58.96,17.1,,24.66,6.9,2,,139.091646390916,147.826086956522,131.22,58.52,124.231032125769,13.3,8.7,6.42716451572485,6.42716451572485,4.6,5.65672400437953,5.65672400437953,3.60526843358239,0.917109055058395,2.05145557079714,2
Baldwin,1,131,1,4,1,58.8,1.1,5.7,,,,76.88,53.88,18.13,,24.8,7.32,2,,117.258064516129,147.677595628415,141.32,64.42,119.372865569699,3.9,1.7,1.1914151925078,1.1914151925078,2.2,1.75658732371098,1.75658732371098,0.753728563450579,0.205341466676386,1.0028587602604,2
Baldwin,1,131,1,5,1,65.5,0.8,3.3,,,,23.12,15,5.03,,6.7,1.96,2,,123.880597014925,156.632653061225,134.25,59.74,124.72380314697,0.8,0.1,0.064878892733564,0.064878892733564,0.7,0.35415808294063,0.35415808294063,0.0426646006315051,0.0136853618771798,0.311493482309125,2
Baldwin,1,131,1,6,1,67,0.8,3.4,,,,26.06,17.08,7.04,,6.88,2.64,2,,148.255813953488,166.666666666667,115.89,51.42,125.379229871645,0.6,0.1,0.0655410590943975,0.0655410590943975,0.5,0.261171021233979,0.261171021233979,0.0393227168073676,0.0129221028396009,0.221848304426611,2
Baldwin,1,131,10,1,1,42.4,1.2,8,,,,35.14,27.88,4.62,,13.36,2.28,2,,108.682634730539,102.631578947368,107.34,47.08,127.994902293968,4,2.5,1.98349459305635,1.98349459305635,1.5,1.86329199804517,1.86329199804517,1.20538255142695,0.254898772257907,0.657909446618222,2
Baldwin,1,131,10,2,1,44.3,1,5.5,,,,12.02,9.88,2.32,,4.4,1.1,2,,124.545454545455,110.909090909091,119.3,50.38,136.800317586344,1.7,1,0.821963394342762,0.821963394342762,0.7,0.746078191885392,0.746078191885392,0.450470480234093,0.0844139078547249,0.295607711651299,2
Baldwin,1,131,10,3,1,45.5,0.7,4.3,,,,10.06,6.93,2.76,,3.4,1.34,2,,103.823529411765,105.970149253731,113.18,48.4,133.842975206612,0.8,0.3,0.206660039761431,0.206660039761431,0.5,0.360527573054417,0.360527573054417,0.146708877171752,0.0453172270723485,0.213818695882665,2
Baldwin,1,131,10,4,1,46.5,0.7,4,,,,17.82,12.92,4.18,,6.18,1.96,2,,109.061488673139,113.265306122449,118.86,51.24,131.967213114754,0.9,0.3,0.217508417508418,0.217508417508418,0.6,0.401377911417304,0.401377911417304,0.14272066760105,0.0386802635606463,0.258657243816254,2
