author,loc,spcd,treeno,coreno,cv,satw,extsatw,dw,extdw,sg,extsg,meth,ht
Clark_ChipnSaw_Loblolly,1,131,10,1,,2.63,2.662,1.066,1.028,0.471,0.446,3,
Clark_ChipnSaw_Loblolly,1,131,9,1,,2.388,2.422,1.004,0.962,0.492,0.46,3,
Clark_ChipnSaw_Loblolly,1,131,8,1,,1.61,1.63,0.682,0.668,0.496,0.477,3,
Clark_ChipnSaw_Loblolly,1,131,7,1,,1.88,1.912,0.75,0.724,0.463,0.436,3,
Clark_ChipnSaw_Loblolly,1,131,6,1,,2.232,2.254,0.946,0.854,0.497,0.436,3,
Clark_ChipnSaw_Loblolly,1,131,5,1,,2.212,2.246,0.89,0.848,0.467,0.434,3,
Clark_ChipnSaw_Loblolly,1,131,4,1,,1.92,1.938,0.822,0.782,0.503,0.469,3,
Clark_ChipnSaw_Loblolly,1,131,3,1,,2.03,2.048,0.878,0.852,0.509,0.486,3,
Clark_ChipnSaw_Loblolly,1,131,2,1,,2.048,2.082,0.856,0.826,0.488,0.46,3,
Clark_ChipnSaw_Loblolly,1,131,40,1,,3.742,3.798,1.694,1.606,0.537,0.495,3,
Clark_ChipnSaw_Loblolly,1,131,41,1,,4.018,4.024,1.6,1.48,0.462,0.422,3,
Clark_ChipnSaw_Loblolly,1,131,42,1,,3.646,3.672,1.404,1.358,0.444,0.424,3,
Clark_ChipnSaw_Loblolly,1,131,43,1,,3.962,3.998,1.748,1.608,0.521,0.467,3,
Clark_ChipnSaw_Loblolly,1,131,44,1,,4.468,4.532,1.764,1.702,0.457,0.432,3,
Clark_ChipnSaw_Loblolly,1,131,45,1,,3.842,3.906,1.622,1.558,0.494,0.463,3,
Clark_ChipnSaw_Loblolly,1,131,46,1,,3.612,3.638,1.632,1.572,0.536,0.508,3,
Clark_ChipnSaw_Loblolly,1,131,47,1,,4.478,4.582,1.804,1.752,0.468,0.441,3,
Clark_ChipnSaw_Loblolly,1,131,48,1,,4.618,4.712,1.802,1.748,0.451,0.426,3,
Clark_ChipnSaw_Loblolly,1,131,39,1,,3.858,3.878,1.6,1.478,0.484,0.439,3,
Clark_ChipnSaw_Loblolly,1,131,19,1,,2.646,2.666,1.038,0.988,0.454,0.425,3,
Clark_ChipnSaw_Loblolly,1,131,18,2,,2.744,2.762,1.106,1.058,0.468,0.442,3,
Clark_ChipnSaw_Loblolly,1,131,18,1,,2.778,2.8,0.978,0.944,0.401,0.382,3,
Clark_ChipnSaw_Loblolly,1,131,17,1,,3.008,3.054,1.208,1.164,0.466,0.439,3,
Clark_ChipnSaw_Loblolly,1,131,16,1,,2.738,2.812,1.028,0.99,0.432,0.401,3,
Clark_ChipnSaw_Loblolly,1,131,15,1,,2.332,2.356,0.964,0.902,0.482,0.441,3,
Clark_ChipnSaw_Loblolly,1,131,14,1,,2.26,2.322,0.986,0.96,0.514,0.482,3,
Clark_ChipnSaw_Loblolly,1,131,13,1,,2.22,2.242,0.832,0.798,0.431,0.406,3,
Clark_ChipnSaw_Loblolly,1,131,12,1,,2.408,2.412,0.978,0.954,0.473,0.458,3,
Clark_ChipnSaw_Loblolly,1,131,11,1,,2.552,2.568,1.012,0.978,0.46,0.439,3,
Clark_ChipnSaw_Loblolly,1,131,38,1,,3.71,3.746,1.508,1.438,0.473,0.443,3,
Clark_ChipnSaw_Loblolly,1,131,37,1,,4.046,4.052,1.528,1.402,0.434,0.393,3,
Clark_ChipnSaw_Loblolly,1,131,36,1,,3.89,3.902,1.526,1.428,0.454,0.419,3,
Clark_ChipnSaw_Loblolly,1,131,35,1,,3.806,3.818,1.368,1.316,0.41,0.391,3,
Clark_ChipnSaw_Loblolly,1,131,34,1,,3.59,3.624,1.472,1.37,0.478,0.435,3,
Clark_ChipnSaw_Loblolly,1,131,33,1,,3.802,3.82,1.518,1.448,0.463,0.436,3,
Clark_ChipnSaw_Loblolly,1,131,32,1,,3.812,3.844,1.574,1.508,0.482,0.454,3,
Clark_ChipnSaw_Loblolly,1,131,31,1,,3.198,3.254,1.298,1.246,0.472,0.442,3,
Clark_ChipnSaw_Loblolly,1,131,30,1,,3.784,3.798,1.618,1.498,0.502,0.457,3,
Clark_ChipnSaw_Loblolly,1,131,29,1,,2.95,2.968,1.196,1.156,0.472,0.45,3,
Clark_ChipnSaw_Loblolly,1,131,28,1,,3.56,3.632,1.322,1.27,0.426,0.398,3,
Clark_ChipnSaw_Loblolly,1,131,27,1,,3.21,3.338,1.4,1.348,0.514,0.47,3,
Clark_ChipnSaw_Loblolly,1,131,26,1,,3.484,3.518,1.41,1.362,0.471,0.447,3,
Clark_ChipnSaw_Loblolly,1,131,25,1,,3.148,3.168,1.242,1.194,0.457,0.434,3,
Clark_ChipnSaw_Loblolly,1,131,24,1,,3.11,3.16,1.278,1.148,0.479,0.416,3,
Clark_ChipnSaw_Loblolly,1,131,23,1,,2.732,2.77,1.154,1.1,0.495,0.46,3,
Clark_ChipnSaw_Loblolly,1,131,22,1,,2.724,2.758,1.05,1.012,0.445,0.42,3,
Clark_ChipnSaw_Loblolly,1,131,21,1,,2.752,2.762,1.196,1.126,0.512,0.475,3,
Clark_ChipnSaw_Loblolly,1,131,1,1,,1.73,1.738,0.718,0.686,0.485,0.457,3,
Clark_ChipnSaw_Loblolly,1,131,20,1,,3.418,3.502,1.332,1.294,0.45,0.424,3,
WDS_Pitch_Pine,101,126,5,B-2,,0.85,0.788,0.548,0.352,0.8301,0.5285,3,
