author,loc,spcd,treeno,section_id,disk_id,ht,wdbk_thk,ob_d_1,ob_d_2,ob_d_avg,ib_d_1,ib_d_2,ib_d_avg,wd_cl_def1,wd_d_def1,wd_cv_def1,wd_cl_def2,wd_d_def2,wd_cv_def2,wd_cl_def3,wd_d_def3,wd_cv_def3,wdbk_gw,wd_gw,bk_gw,wdbk_gw_1,wd_gw_1,bk_gw_1,wdbk_cv,wd_cv,bk_cv,wd_gw_sub,bk_gw_sub,wd_dw_sub,bk_dw_sub,wd_cv_sub,bk_cv_sub,temp,wdbk_mc,wd_mc,bk_mc,bk_frac,wdbk_sg,wd_sg,bk_sg
Baldwin,1,131,1,1,1,0.5,,11,,11,10,,9.5,,,,,,,,,,1916.8,1679.9,236.9,1916.8,1679.9,236.9,,,,279.3,29.31,156.7,19,311.8,58.21,105,,78.24,57.58,0.1236,,0.5026,0.3195
Baldwin,1,131,1,2,2,2,,9.9,,9.9,8,,8.5,,,,,,,,,,1712.5,1502.5,210,1712.5,1502.5,210,,,,276.2,25.32,157.3,16,312,51.51,105,,75.59,57.66,0.1226,,0.5042,0.3118
Baldwin,1,131,1,3,3,4.5,,9.3,,9.3,8,,8,,,,,,,,,,1819.2,1613.9,205.3,1819.2,1613.9,205.3,,,,287.4,30.29,159.6,18,319.9,60.98,105,,80.08,68.84,0.1129,,0.4989,0.2942
Baldwin,1,131,1,4,4,9.5,,8.9,,8.9,8,,7.9,,,,,,,,,,1250.2,1124.3,125.9,1250.2,1124.3,125.9,,,,259.1,12.7,141.7,7,284,27.28,105,,82.85,73.02,0.1007,,0.4989,0.2691
Baldwin,1,131,1,5,5,14.5,,8.5,,8.5,8,,7.5,,,,,,,,,,1138,1031.7,106.3,1138,1031.7,106.3,,,,181.7,13.47,90.6,8,207.9,30.88,105,,100.55,61.9,0.0934,,0.4358,0.2694
Baldwin,1,131,1,6,6,19.5,,8.1,,8.1,7,,7.4,,,,,,,,,,1267,1156.5,110.5,1267,1156.5,110.5,,,,258.7,20.23,119.4,9,274,32.64,105,,116.67,114.76,0.0872,,0.4358,0.2886
Baldwin,1,131,1,7,7,24.5,,7.8,,7.8,7,,7.2,,,,,,,,,,1115.4,1028.3,87.1,1115.4,1028.3,87.1,,,,222.8,8.03,99.9,4,227.7,14.11,105,,123.02,82.5,0.0781,,0.4387,0.3118
Baldwin,1,131,1,8,8,29.5,,7.4,,7.4,7,,6.8,,,,,,,,,,1118.9,1028.9,90,1118.9,1028.9,90,,,,188.5,18.47,82.5,9,200.3,30.13,105,,128.48,100.76,0.0804,,0.4119,0.3053
Baldwin,1,131,1,9,9,34.5,,7,,7,6,,6.4,,,,,,,,,,1043.9,951,92.9,1043.9,951,92.9,,,,184.4,18.15,78.5,8,201.9,29.27,105,,134.9,118.67,0.089,,0.3888,0.2836
Baldwin,1,131,1,10,10,39.5,,6.4,,6.4,6,,5.9,,,,,,,,,,758.3,691.4,66.9,758.3,691.4,66.9,,,,,5.34,301.5,3,691.6,8.3,105,,,110.24,0.0882,,0.4359,0.306
Baldwin,1,131,1,11,11,44.5,,5.9,,5.9,5,,5.4,,,,,,,,,,663,590.4,72.6,663,590.4,72.6,,,,,8.73,255.2,3,603.7,12.08,105,,,169.44,0.1095,,0.4227,0.2682
Baldwin,1,131,1,12,12,49.5,,5.2,,5.2,5,,4.8,,,,,,,,,,371.2,329.7,41.5,371.2,329.7,41.5,,,,,10.84,140.1,3,343.1,13.29,105,,,222.62,0.1118,,0.4083,0.2528
Baldwin,1,131,1,13,13,54,,4.2,,4.2,4,,3.9,,,,,,,,,,254.2,221.2,33,254.2,221.2,33,,,,,10.02,89.4,3,210,11.76,105,,,211.18,0.1298,,0.4257,0.2738
Baldwin,1,131,1,14,14,59.5,,2.9,,2.9,3,,2.6,,,,,,,,,,124.9,103.5,21.4,124.9,103.5,21.4,,,,,6.19,40,2,111.6,6.93,105,,,222.4,0.1713,,0.3584,0.2771
Baldwin,1,131,1,15,15,64.5,,1.6,,1.6,1,,1.3,,,,,,,,,,58.4,44.3,14.1,58.4,44.3,14.1,,,,,7.35,17.5,3,43.8,8.73,105,,,182.69,0.2414,,0.3995,0.2978
Baldwin,1,131,10,1,1,0.5,,7.2,,7.2,6,,6.2,,,,,,,,,,849.2,713.3,135.9,849.2,713.3,135.9,,,,175.4,9.66,100.8,6,192.5,16.07,105,,74.01,60.47,0.16,,0.5236,0.3746
Baldwin,1,131,10,2,2,2,,6.5,,6.5,6,,5.5,,,,,,,,,,612.2,521.2,91,612.2,521.2,91,,,,,8.26,294.9,6,542.5,14.92,105,,,41.44,0.1486,,0.5436,0.3914
Baldwin,1,131,10,3,3,4.5,,6.2,,6.2,5,,5.4,,,,,,,,,,663.3,575.8,87.5,663.3,575.8,87.5,,,,,8.85,304.2,6,589.1,15.16,105,,,56.91,0.1319,,0.5164,0.372
Baldwin,1,131,10,4,4,9.5,,5.5,,5.5,5,,4.9,,,,,,,,,,534.6,470.6,64,534.6,470.6,64,,,,,10.95,231.7,6,487,17.04,105,,,70.03,0.1197,,0.4758,0.3779
Baldwin,1,131,10,5,5,14.5,,5,,5,4,,4.5,,,,,,,,,,349.7,313.8,35.9,349.7,313.8,35.9,,,,,4.39,156.1,2,338.9,7.24,105,,,185.06,0.1027,,0.4606,0.2127
Baldwin,1,131,10,6,6,19.5,,4.8,,4.8,4,,4.4,,,,,,,,,,277.9,250,27.9,277.9,250,27.9,,,,,6.48,124.7,3,257.8,9.58,105,,,86.21,0.1004,,0.4837,0.3633
Baldwin,1,131,10,7,7,24.5,,4.3,,4.3,4,,3.9,,,,,,,,,,195.9,175.5,20.4,195.9,175.5,20.4,,,,,3.22,89.1,2,178.1,4.94,105,,,78.89,0.1041,,0.5003,0.3644
Baldwin,1,131,10,8,8,29.5,,3.9,,3.9,4,,3.6,,,,,,,,,,242.5,216,26.5,242.5,216,26.5,,,,,4.91,108.1,3,224.2,7.12,105,,,75.36,0.1093,,0.4822,0.3933
Baldwin,1,131,10,9,9,34.5,,3.6,,3.6,3,,3.3,,,,,,,,,,175.9,158,17.9,175.9,158,17.9,,,,,2.87,79.7,1,170.7,3.7,105,,,114.18,0.1018,,0.4669,0.3622
Baldwin,1,131,10,10,10,39.5,,3,,3,3,,2.8,,,,,,,,,,123.8,109.8,14,123.8,109.8,14,,,,,3.37,54.6,2,125.6,4.57,105,,,118.83,0.1131,,0.4347,0.337
Baldwin,1,131,10,11,11,44.5,,1.9,,1.9,2,,1.7,,,,,,,,,,100.9,82.7,18.2,100.9,82.7,18.2,,,,,7.3,37.1,3,90.3,8.4,105,,,150,0.1804,,0.4109,0.3476
Baldwin,1,131,100,1,1,0.5,,11.1,,11.1,10,,9.9,,,,,,,,,,1654.7,1492.1,162.6,1654.7,1492.1,162.6,,,,291.4,14.44,139,9,293.2,27.66,105,,109.64,63.72,0.0983,,0.4741,0.3189
Baldwin,1,131,100,2,2,2,,9.5,,9.5,8,,8.5,,,,,,,,,,1612.1,1474.2,137.9,1612.1,1474.2,137.9,,,,292.3,11.95,141.9,6,298.2,19.87,105,,105.99,87.3,0.0855,,0.4759,0.3211
Baldwin,1,131,100,3,3,4.5,,8.8,,8.8,8,,7.8,,,,,,,,,,873.6,790.9,82.7,873.6,790.9,82.7,,,,122.2,13.93,63.9,11,132.7,27.56,105,,91.24,32.16,0.0947,,0.4815,0.3824
Baldwin,1,131,100,4,4,9,,7.9,,7.9,7,,7,,,,,,,,,,900.8,819.4,81.4,900.8,819.4,81.4,,,,140.4,13.69,68.3,8,139.5,24.75,105,,105.56,75.96,0.0904,,0.4896,0.3143
Baldwin,1,131,100,5,5,15,,7.3,,7.3,7,,6.9,,,,,,,,,,632.4,585.1,47.3,632.4,585.1,47.3,,,,98.6,10.43,47.9,5,96.2,14.08,105,,105.85,119.12,0.0748,,0.4979,0.3381
Baldwin,1,131,100,6,6,20,,7,,7,6,,6.5,,,,,,,,,,906.7,833.1,73.6,906.7,833.1,73.6,,,,159.3,13.32,72.1,6,146.5,17.13,105,,120.94,128.08,0.0812,,0.4922,0.3409
Baldwin,1,131,100,7,7,25.5,,6.3,,6.3,6,,5.9,,,,,,,,,,739.7,684,55.7,739.7,684,55.7,,,,,11.97,306.3,7,672.4,16.88,105,,,80.27,0.0753,,0.4555,0.3934
Baldwin,1,131,100,8,8,30.5,,5.9,,5.9,6,,5.7,,,,,,,,,,583.3,537,46.3,583.3,537,46.3,,,,,10.04,236.3,4,532.7,12.13,105,,,131.34,0.0794,,0.4436,0.3578
Baldwin,1,131,100,9,9,35.5,,5.4,,5.4,5,,5.1,,,,,,,,,,531.9,486.5,45.4,531.9,486.5,45.4,,,,,6.14,202.7,3,484,8.42,105,,,89.51,0.0854,,0.4188,0.3848
Baldwin,1,131,100,10,10,40.5,,4.9,,4.9,5,,4.7,,,,,,,,,,255.9,234.1,21.8,255.9,234.1,21.8,,,,,7.08,101.5,3,212.3,7.72,105,,,170.23,0.0852,,0.4781,0.3394
Baldwin,1,131,100,11,11,45.5,,4,,4,4,,3.8,,,,,,,,,,270.5,243.4,27.1,270.5,243.4,27.1,,,,,8.35,101.3,4,212.3,11.1,105,,,118.59,0.1002,,0.4772,0.3441
Baldwin,1,131,100,12,12,50.5,,2.8,,2.8,3,,2.6,,,,,,,,,,133.9,116.2,17.7,133.9,116.2,17.7,,,,,5.52,48.1,2,103.8,5.82,105,,,200,0.1322,,0.4634,0.3162
Baldwin,1,131,100,13,13,55.5,,1.7,,1.7,2,,1.5,,,,,,,,,,62.8,51.7,11.1,62.8,51.7,11.1,,,,,10.55,19.2,5,47.2,11.48,105,,,117.53,0.1768,,0.4068,0.4225
Baldwin,1,131,101,1,1,0.5,,7,,7,6,,6,,,,,,,,,,664.7,575.4,89.3,664.7,575.4,89.3,,,,,6.72,333.9,4,583.7,13.65,105,,,68,0.1343,,0.572,0.293
