author,year,loc,spcd,common_name,sample_size,st_meand_bh,st_mind_bh,st_maxd_bh,lat,lon,prec,lat_lon_der,loc_desc,state
902 Chequamegon,,Pine Lake Aspen,316,red maple,13,9,4.5,21.3,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Pine Lake Aspen,318,sugar maple,6,7,5.1,12.3,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Pine Lake Aspen,375,paper birch,15,9,5.4,12.5,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Pine Lake Aspen,746,quaking aspen,8,10.3,5.4,14.4,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Pine Lake Aspen,833,northern red oak,10,11,5,20,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Pine Lake Aspen,951,American basswood,7,14.4,8.7,23.4,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Tornado,12,balsam fir,5,8.9,6.4,11.4,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Tornado,129,eastern white pine,2,20.9,18.7,23.1,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Tornado,261,eastern hemlock,3,11.6,8.7,16.8,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Tornado,316,red maple,11,11.3,8.6,16.6,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Tornado,318,sugar maple,5,14.6,10.2,17,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Tornado,371,yellow birch,2,7.3,5.5,9.2,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Tornado,541,white ash,2,11.8,11.5,12.1,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Tornado,543,black ash,6,14,7.6,22.8,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Tornado,743,bigtooth aspen,6,9.7,8.3,12.2,46.3,-91,,,Chequamegon National Forest,Wisconsin
902 Chequamegon,,Tornado,746,quaking aspen,6,8.8,5.7,11.4,46.3,-91,,,Chequamegon National Forest,Wisconsin
