author,loc,spcd,treeno,section_id,ob_d_bot,ob_d_top,ib_d_bot,ib_d_top,len,ht,wdbk_gw,wd_gw,bk_gw,wdbk_dw,wd_dw,bk_dw,wdbk_cv,wd_cv,bk_cv,cen,wd_def1d_1,wd_def1d_2,wd_def1len,wd_def1cl,wd_def2cl,wd_def2d_1,wd_def2d_2,wd_def2len,wd_def3cl_1,wd_def3d_1,wd_def3d_2,wd_def3len,wdbk_d_kerf,wdbk_wid_kerf,wdbk_gw_kerf,wdbk_ar,wd_ar
Baldwin,1,131,1,1,12.5,10.7,9.5,8.5,1.5,0.5,40.8,35.76,5.04,23.26,20.06,3.2,1.11,0.66,0.44,1,,,,,,,,,,,,,,,,4.56,3.53
Baldwin,1,131,1,2,10.7,9.9,8.5,8,2.5,2,71.1,62.38,8.72,41.06,35.53,5.53,1.45,0.93,0.52,1,,,,,,,,,,,,,,,,6.74,5.4
Baldwin,1,131,1,3,9.9,9.1,8,7.9,5,4.5,150,133.07,16.93,83.92,73.9,10.03,2.47,1.72,0.74,1,,,,,,,,,,,,,,,,12.44,10.41
Baldwin,1,131,1,4,9.1,9,7.9,7.5,5,9.5,119,107.02,11.98,65.45,58.53,6.93,2.23,1.62,0.62,1,,,,,,,,,,,,,,,,11.85,10.08
Baldwin,1,131,1,5,9,8.5,7.5,7.4,5,14.5,105.4,95.55,9.85,53.73,47.65,6.08,2.09,1.51,0.58,1,,,,,,,,,,,,,,,,11.45,9.75
Baldwin,1,131,1,6,8.5,8,7.4,7.2,5,19.5,98.9,90.27,8.63,45.68,41.67,4.02,1.86,1.45,0.4,1,,,,,,,,,,,,,,,,10.8,9.56
Baldwin,1,131,1,7,8,7.5,7.2,6.8,5,24.5,92.8,85.55,7.25,42.33,38.36,3.97,1.64,1.34,0.3,1,,,,,,,,,,,,,,,,10.14,9.16
Baldwin,1,131,1,8,7.5,7.1,6.8,6.4,5,29.5,85.2,78.35,6.85,37.7,34.29,3.41,1.45,1.19,0.27,1,,,,,,,,,,,,,,,,9.56,8.64
Baldwin,1,131,1,9,7.1,6.5,6.4,5.9,5,34.5,75.1,68.42,6.68,32.18,29.13,3.06,1.26,1.03,0.23,1,,,,,,,,,,,,,,,,8.9,8.05
Baldwin,1,131,1,10,6.5,5.9,5.9,5.4,5,39.5,62,56.53,5.47,27.25,24.65,2.6,1.05,0.87,0.18,1,,,,,,,,,,,,,,,,8.12,7.4
Baldwin,1,131,1,11,5.9,5.3,5.4,4.8,5,44.5,52.4,46.66,5.74,22.3,20.17,2.13,0.86,0.71,0.15,1,,,,,,,,,,,,,,,,7.33,6.68
