FID,FEATURE_ID,LABEL_CENTRE_X,LABEL_CENTRE_Y,BEC_ZONE_CODE,QUAD_DIAM_125,BASAL_AREA,VRI_LIVE_STEMS_PER_HA,SPECIES_CD_1,SPECIES_PCT_1,SPECIES_CD_2,SPECIES_PCT_2,PROJ_AGE_1,PROJ_HEIGHT_1,LIVE_STAND_VOLUME_125,WHOLE_STEM_BIOMASS_PER_HA,BRANCH_BIOMASS_PER_HA,FOLIAGE_BIOMASS_PER_HA,BARK_BIOMASS_PER_HA,OBJECTID,FEATURE_AREA_SQM
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-30a,1816173,1498691,601232,IDF,20.625,30.502329,1060,LW,80,FD,20,103,25.2,180.696,138.497,16.82,9.433,18.822,1411354,88667.8754
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-309,1816198,1492662,605698,IDF,38.118,35.829308,734,LW,45,CW,30,350,34.2,227.779,166.694,19.65,10.737,23.104,1178905,544188.4146
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-308,1816297,1498690,601496,IDF,23.745,21.270779,567,LW,60,FD,40,101,25.5,130.483,115.542,14.411,8.289,15.39,1490006,21102.1826
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-307,1816499,1485517,599473,IDF,27.793,28.339832,526,LW,70,FD,30,171,29.4,199.533,149.188,17.909,9.939,20.439,6142633,33289.3884
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-306,1817189,1511414,609728,IDF,25.283,18.909149,575,LW,50,FD,30,105,26.9,119.6,110.849,13.906,8.045,14.695,969514,69090.8917
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-305,1818560,1527763,606314,IDF,30.066,30.008068,664,LW,60,FD,20,161,34,236.109,163.159,19.303,10.579,22.564,3718548,61289.7513
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-304,1825013,1481932,614879,IDF,28.522,17.39609,308,LW,60,FD,40,200,26.9,102.254,104.617,13.23,7.715,13.778,1631646,595336.2801
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-303,1825313,1488842,612323,ICH,21.183,26.329781,1054,LW,50,FD,40,91,18.8,102.805,97.437,12.44,7.327,12.728,5693856,122857.6559
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-302,1825507,1488339,611049,ICH,28.997,40.767193,862,LW,50,FD,30,151,29.1,299.455,178.58,20.803,11.256,24.925,4664666,192537.707
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-301,1825927,1511802,613640,IDF,17.898,24.973509,1339,LW,70,FD,30,83,22.6,115.151,104.964,13.268,7.734,13.829,4160135,10470.7051
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-300,1834653,1528634,629957,ICH,63.344,77.114723,445,LW,40,FD,30,152,36.8,589.973,289.172,30.777,15.648,41.932,4537762,62365.3839
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2ff,1834859,1527861,626404,ICH,36.449,56,525,LW,60,FD,40,102,29.9,414.549,215.78,24.257,12.777,30.666,756531,152369.7834
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2fe,1944270,1658683,715830,ICH,17.206,9.11406,855,LW,60,S,40,35,12.1,11.792,31.502,4.549,3.081,3.643,6367621,57680.088
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2fd,2567011,1421504,545151,MS,23.654,21.046429,499,LT,90,FD,10,107,19.5,98.2,99.367,12.653,7.432,13.009,4136168,14928.8169
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2fc,2879894,1491770,466301,IDF,28.684,22.59885,467,LW,50,FD,40,140,26,137.851,119.842,14.87,8.51,16.028,1903787,32871.4867
WHSE_FOREST_VEGETATION.VEG_COMP_LYR_R1_POLY.fid--78b2ea9d_19f6dc96c27_-2fb,2879918,1493703,466230,IDF,27.902,22.78204,437,LW,50,FD,30,137,27.7,164.437,132.563,16.206,9.145,17.93,3350453,3632.5256
