"dbh_cm","height_m","national_D","national_DH","affleck","refit","affleck_over_national","refit_over_national","refit_over_affleck"
10,10.5291255515721,2.48708959629824,2.61693612232965,1.90046517861965,4.99108624944073,0.764132173383816,2.00679792833737,2.62624451402254
15,14.4614456430142,6.09577887568817,6.59873434652735,5.63015905578638,11.3468379613138,0.923616025220531,1.86142545402499,2.01536721234405
20,18.113239670734,11.5151275059725,12.7188629480032,12.1666016849984,20.3209114290302,1.05657550719156,1.7647144088062,1.67022081885744
25,21.5696761985721,18.8597872791565,21.1593282990627,22.1178511349803,31.9328903499101,1.17275188779168,1.6931734105613,1.44376097637292
30,24.8780043161416,28.2232176541764,32.0712443332579,36.0437557212663,46.197977291467,1.27709590603439,1.63687846855515,1.28171929830857
32,26.1669118305226,32.5520266863703,37.1577889739184,42.8454810459123,52.6497416204117,1.31621546820161,1.61740287717497,1.22882834630783
40,31.1601803741874,53.3145897422282,61.8163635366374,77.8894547643962,82.7353847777652,1.46094071324539,1.55183384469025,1.06221548254545
50,37.1062832037869,87.3200770805538,102.838810015739,141.596430134462,130.012867749214,1.62157930762976,1.48892296131708,0.918193118468821
60,42.7975953464195,130.672393306768,155.873029443111,230.748778786119,188.092322557128,1.7658571404934,1.43941897593901,0.815138972984425
70,48.28540452932,183.739782221203,221.553125479736,348.703659529555,257.024443376816,1.89781252222098,1.39885026677231,0.7370855921718
