"coefficient","form","component","a","b","c"
"Conifers","DBH","Wood",0.0564,2.4347,NA
"Conifers","DBH","Bark",0.0153,2.211,NA
"Conifers","DBH","Branches",0.0194,2.2408,NA
"Conifers","DBH","Foliage",0.0935,1.6106,NA
"Conifers","DBH+H","Wood",0.0276,1.6868,1.0953
"Conifers","DBH+H","Bark",0.0101,1.8486,0.5525
"Conifers","DBH+H","Branches",0.0313,2.9974,-1.0383
"Conifers","DBH+H","Foliage",0.1379,2.3981,-1.0418
"Tamarack larch","DBH","Wood",0.0625,2.4475,NA
"Tamarack larch","DBH","Bark",0.0174,2.1109,NA
"Tamarack larch","DBH","Branches",0.0196,2.2652,NA
"Tamarack larch","DBH","Foliage",0.0801,1.4875,NA
"Tamarack larch","DBH+H","Wood",0.0276,1.6724,1.1443
"Tamarack larch","DBH+H","Bark",0.012,1.7059,0.5811
"Tamarack larch","DBH+H","Branches",0.0336,3.1335,-1.1559
"Tamarack larch","DBH+H","Foliage",0.1324,2.114,-0.8781
