"species","component","coefficient","form","dbh_class","n","mean_obs","bias","rel_bias","mae","rel_mae","rmse","rel_rmse","r2"
"tamarack","bark","Conifers","DBH","all",439,7.95859451025057,1.48189211002037,18.6200227704995,1.87378281387729,23.5441422661236,3.42796188247948,43.0724530325588,0.841634419300214
"tamarack","bark","Conifers","DBH","<20",299,3.14155183946488,0.318818073396125,10.1484263092864,0.642481838032711,20.451097765178,1.01943584275335,32.4500722842438,0.871289559779247
"tamarack","bark","Conifers","DBH","20-40",139,17.9287697122302,3.95782563966024,22.0752773513533,4.49929724661598,25.0954043073394,5.88990682993192,32.8517066394917,0.251360055776758
"tamarack","bark","Conifers","DBH",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"tamarack","bark","Conifers","DBH+H","all",439,7.95859451025057,1.64487170229247,20.6678666713563,1.84054451905936,23.1265020059605,3.26880771171795,41.072675677945,0.855998313930774
"tamarack","bark","Conifers","DBH+H","<20",299,3.14155183946488,0.421264150989196,13.409428604589,0.584839611297217,18.6162648647185,1.01081538963118,32.1756711741339,0.873457133389297
"tamarack","bark","Conifers","DBH+H","20-40",139,17.9287697122302,4.20295767904561,23.4425325691954,4.46908216774033,24.9268758507825,5.52492271200558,30.8159611656829,0.341268305463313
"tamarack","bark","Conifers","DBH+H",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"tamarack","bark","Tamarack larch","DBH","all",439,7.95859451025057,-0.122791566086986,-1.54288003904247,1.27096133826946,15.9696707330984,2.17332345523476,27.3078802096972,0.936344261119157
"tamarack","bark","Tamarack larch","DBH","<20",299,3.14155183946488,-0.114344629430853,-3.63974988394047,0.593101430270064,18.8792501469939,0.927015115586292,29.5081909501196,0.893569130813689
"tamarack","bark","Tamarack larch","DBH","20-40",139,17.9287697122302,-0.0705463916140756,-0.393481497874067,2.66693665447149,14.8751793752598,3.51602512038849,19.6110786006137,0.733215813041762
"tamarack","bark","Tamarack larch","DBH",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"tamarack","bark","Tamarack larch","DBH+H","all",439,7.95859451025057,-0.0498219361293991,-0.626014254969632,1.00766083041382,12.6612912508102,1.8197425035253,22.865124001248,0.955371868166256
"tamarack","bark","Tamarack larch","DBH+H","<20",299,3.14155183946488,-0.0119863746241631,-0.381543111069745,0.45429170270882,14.4607418856473,0.771833920445759,24.5685559203514,0.926219482081757
"tamarack","bark","Tamarack larch","DBH+H","20-40",139,17.9287697122302,-0.0902300774222659,-0.503269766250135,2.16391339751973,12.0695029957555,2.98990384358688,16.6765700690957,0.807082960502204
"tamarack","bark","Tamarack larch","DBH+H",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"tamarack","wood","Conifers","DBH","all",439,81.8651368109339,-11.1616392936776,-13.634179002785,17.77642104099,21.7142751279392,31.552264136758,38.5417594911341,0.896457689462655
"tamarack","wood","Conifers","DBH","<20",299,27.9683145819398,-4.9583077328768,-17.7283036428608,8.09969257542526,28.9602455367673,14.3245457915388,51.2170504574799,0.76599610723257
"tamarack","wood","Conifers","DBH","20-40",139,193.049417266187,-23.4281601560851,-12.1358357294501,37.5620818765757,19.4572366021613,50.1651485825103,25.9856513906695,0.626110080297688
"tamarack","wood","Conifers","DBH",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"tamarack","wood","Conifers","DBH+H","all",439,81.8651368109339,-6.97175209933532,-8.51614297724372,9.951377841731,12.1558189839877,18.1419561376873,22.1607839972048,0.965768571781397
"tamarack","wood","Conifers","DBH+H","<20",299,27.9683145819398,-2.31609460716294,-8.28113757222443,3.5787674836248,12.7957924426942,6.1782738081299,22.0902614279069,0.956469298605433
"tamarack","wood","Conifers","DBH+H","20-40",139,193.049417266187,-16.7459348844807,-8.67442912888491,23.4402982718879,12.1421232987029,30.7511309798823,15.9291498598418,0.859504719134392
"tamarack","wood","Conifers","DBH+H",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"tamarack","wood","Tamarack larch","DBH","all",439,81.8651368109339,-0.254857204407189,-0.311313477672162,17.2278980635566,21.0442426833588,28.7268905576504,35.0905057716995,0.914171003704067
"tamarack","wood","Tamarack larch","DBH","<20",299,27.9683145819398,-1.59042083317366,-5.6865093837319,7.36121242530034,26.3198284749477,12.5966785121896,45.0391047886874,0.819043806031503
"tamarack","wood","Tamarack larch","DBH","20-40",139,193.049417266187,3.09061178590845,1.60094333858928,38.1014619631615,19.7366366097988,47.2621139730257,24.4818734199327,0.668131649323897
"tamarack","wood","Tamarack larch","DBH",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"tamarack","wood","Tamarack larch","DBH+H","all",439,81.8651368109339,0.572010937506762,0.698723485710176,8.07919837961447,9.86891208436289,14.6398092177344,17.882837295618,0.977709098724382
"tamarack","wood","Tamarack larch","DBH+H","<20",299,27.9683145819398,0.0753476315115069,0.269403546970118,2.69785183106625,9.64610085159853,4.861142077998,17.3808903062647,0.973051289370979
"tamarack","wood","Tamarack larch","DBH+H","20-40",139,193.049417266187,1.33247557437823,0.690225121239776,19.401011771633,10.049764483299,24.7493516355801,12.8202156660511,0.908994591619477
"tamarack","wood","Tamarack larch","DBH+H",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"tamarack","total","Conifers","DBH","all",439,109.009953712984,-6.77499840472044,-6.21502731994415,16.7321677763046,15.3492109723845,29.3509839233019,26.9250494322574,0.946264009746527
"tamarack","total","Conifers","DBH","<20",299,38.4504206688963,-2.77420692149377,-7.21502358942436,6.79411949064235,17.6698183594603,11.5328355674096,29.9940426314733,0.901604491959431
"tamarack","total","Conifers","DBH","20-40",139,254.818805035971,-14.3372882996226,-5.62646398785157,37.1376012201265,14.5741210955306,47.6317943274697,18.6924172730289,0.789938228933543
"tamarack","total","Conifers","DBH",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"tamarack","total","Conifers","DBH+H","all",439,109.009953712984,-3.95681155379331,-3.62977087781482,11.2300739997963,10.3018794314548,20.009128528875,18.3553224704211,0.975026680391915
"tamarack","total","Conifers","DBH+H","<20",299,38.4504206688963,-1.04464147380119,-2.7168531725486,4.25497396069226,11.0661311025245,6.61675787683634,17.2085448266339,0.967611296893431
"tamarack","total","Conifers","DBH+H","20-40",139,254.818805035971,-9.89971641196932,-3.88500229038113,25.9649883559612,10.1895887755599,33.9598375624834,13.3270531418156,0.893221369321088
"tamarack","total","Conifers","DBH+H",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"tamarack","total","Tamarack larch","DBH","all",439,109.009953712984,0.055205528204503,0.0506426489729982,16.9695163432273,15.5669420683425,28.5049390821927,26.1489323784544,0.949317251097832
"tamarack","total","Tamarack larch","DBH","<20",299,38.4504206688963,-1.1399145000322,-2.96463466511385,6.61318282727482,17.1992470101229,10.8395673327025,28.1910240359762,0.913078549031392
"tamarack","total","Tamarack larch","DBH","20-40",139,254.818805035971,3.2095426276224,1.25953915652706,38.7857499746294,15.2209135307554,47.604469198888,18.6816939166511,0.790179173812936
"tamarack","total","Tamarack larch","DBH",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"tamarack","total","Tamarack larch","DBH+H","all",439,109.009953712984,1.15814154397788,1.06241815956292,10.6494678407465,9.76926186831145,18.9590623917906,17.3920470067426,0.97757906916231
"tamarack","total","Tamarack larch","DBH+H","<20",299,38.4504206688963,0.334796778372045,0.870723317320874,4.0321216634383,10.4865475937432,6.39835846419544,16.6405421654366,0.96971411928592
"tamarack","total","Tamarack larch","DBH+H","20-40",139,254.818805035971,2.80500032392556,1.10078230824824,24.8279650983617,9.74338024026792,32.3221843871426,12.6843795467057,0.903271479398161
"tamarack","total","Tamarack larch","DBH+H",">40",1,NA,NA,NA,NA,NA,NA,NA,NA
"western larch","bark","Conifers","DBH","all",13,8.56242129230769,-4.02026790780438,-46.9524655533606,4.02026790780438,46.9524655533605,4.82301363166977,56.3276842731702,0.309156999663015
"western larch","bark","Conifers","DBH","<20",13,8.56242129230769,-4.02026790780438,-46.9524655533606,4.02026790780438,46.9524655533605,4.82301363166977,56.3276842731702,0.309156999663015
"western larch","bark","Tamarack larch","DBH","all",13,8.56242129230769,-4.61005272323389,-53.8405267138102,4.61005272323389,53.8405267138102,5.6030570743326,65.4377644249562,0.0676210167781203
"western larch","bark","Tamarack larch","DBH","<20",13,8.56242129230769,-4.61005272323389,-53.8405267138102,4.61005272323389,53.8405267138102,5.6030570743326,65.4377644249562,0.0676210167781203
"western larch","wood","Conifers","DBH","all",13,40.4255147076923,-9.87970294438438,-24.4392755808362,9.87970294438438,24.4392755808362,13.1166782739966,32.4465337518652,0.824331406330877
"western larch","wood","Conifers","DBH","<20",13,40.4255147076923,-9.87970294438438,-24.4392755808362,9.87970294438438,24.4392755808362,13.1166782739966,32.4465337518652,0.824331406330877
"western larch","wood","Tamarack larch","DBH","all",13,40.4255147076923,-5.38705728372325,-13.3258842161339,5.38705728372325,13.3258842161339,7.78426262832697,19.2558157505556,0.938129823959904
"western larch","wood","Tamarack larch","DBH","<20",13,40.4255147076923,-5.38705728372325,-13.3258842161339,5.38705728372325,13.3258842161339,7.78426262832697,19.2558157505556,0.938129823959904
"western larch","total","Conifers","DBH","all",13,51.4722244923077,-4.50083713081566,-8.74420558895467,4.72253196039,9.17491327987148,7.68053514286456,14.9217082001428,0.960735869864114
"western larch","total","Conifers","DBH","<20",13,51.4722244923077,-4.50083713081566,-8.74420558895467,4.72253196039,9.17491327987148,7.68053514286456,14.9217082001428,0.960735869864114
"western larch","total","Tamarack larch","DBH","all",13,51.4722244923077,-2.24980909033574,-4.37091870912236,3.30850194736921,6.4277423017994,5.24530585605086,10.1905559897353,0.981687204168268
"western larch","total","Tamarack larch","DBH","<20",13,51.4722244923077,-2.24980909033574,-4.37091870912236,3.30850194736921,6.4277423017994,5.24530585605086,10.1905559897353,0.981687204168268
