"method","a","a_se","b","b_se","c_var","cf","mae","rel_mae","rmse","rel_rmse","r2","species","component","N","dbh_min","dbh_max","cv_nat_rel_bias","cv_nat_mae","cv_nat_rel_mae","cv_nat_rel_rmse","cv_refit_rel_bias","cv_refit_mae","cv_refit_rel_mae","cv_refit_rel_rmse"
"log-log OLS (Baskerville-Sprugel)",0.0184418195473403,0.00083908173065855,2.10069966874257,0.0173192767129037,NA,1.03140866620306,1.26874982057665,15.9418829410459,2.18474534806444,27.4513966662143,0.935673417964232,"tamarack","bark",439,1.8,44.5,18.6200227704995,1.87378281387729,23.5441422661236,43.0724530325588,1.06350046230421,1.27367346674489,16.0037487159876,27.5830555993684
"weighted NLS (DBH^2c)",0.0188160670798684,0.000928665522431823,2.09194050991613,0.017527539083441,1.83736548320074,NA,1.26570664768557,15.90364537426,2.17384749563661,27.314464794465,0.936313559567916,"tamarack","bark",439,1.8,44.5,18.6200227704995,1.87378281387729,23.5441422661236,43.0724530325588,1.06350046230421,1.27367346674489,16.0037487159876,27.5830555993684
"log-log OLS (Baskerville-Sprugel)",0.0545277766256485,0.00315292160712967,2.50463172507747,0.0220102328493444,NA,1.05121503758075,18.4095355341315,22.4876379021366,31.0098701651194,37.8792137570552,0.899986945809001,"tamarack","wood",439,1.8,44.5,-13.634179002785,17.77642104099,21.7142751279392,38.5417594911341,4.34427139734242,18.4384382712223,22.5229432081761,38.0192571710235
"weighted NLS (DBH^2c)",0.0668284457643654,0.00549552918157837,2.43049026269186,0.027449866695093,1.84618739396251,NA,17.3866873722903,21.2382071900088,28.8140027133982,35.1969151165576,0.913649674378847,"tamarack","wood",439,1.8,44.5,-13.634179002785,17.77642104099,21.7142751279392,38.5417594911341,4.34427139734242,18.4384382712223,22.5229432081761,38.0192571710235
"log-log OLS (Baskerville-Sprugel)",0.12210389127388,0.00543814334061755,2.33265249307757,0.0169531498238322,NA,1.03007519494202,17.1049806062587,15.6912098607939,28.6580867689922,26.2894220141099,0.948771184542369,"tamarack","total",439,1.8,44.5,-6.21502731994416,16.7321677763046,15.3492109723845,26.9250494322574,1.52923752750771,17.1477129756574,15.7304102896935,26.3356336076635
"weighted NLS (DBH^2c)",0.128123373925158,0.00723147885437309,2.31394428574224,0.0194856964603338,1.92607075725681,NA,16.8895637854668,15.4935977956067,28.2215246450191,25.8889428751841,0.950320081768183,"tamarack","total",439,1.8,44.5,-6.21502731994416,16.7321677763046,15.3492109723845,26.9250494322574,1.52923752750771,17.1477129756574,15.7304102896935,26.3356336076635
"log-log OLS (Baskerville-Sprugel)",0.0470604097033472,0.0119009231850499,2.02553937105963,0.101803862614609,NA,1.0070927622507,0.567096618571964,6.62308708263903,0.658884328279475,7.69507018851552,0.987106799433796,"western larch","bark",13,6.858,19.812,-46.9524655533605,4.02026790780438,46.9524655533605,56.3276842731702,-1.20534109350577,0.680184135044569,7.94382934247387,9.2564288911821
"weighted NLS (DBH^2c)",0.0305406601569661,0.0064665840737601,2.1866570606467,0.0734256471602542,-1.07273387922184,NA,0.486397809566799,5.68061057686766,0.550099652291954,6.42458054226031,0.991012785158608,"western larch","bark",13,6.858,19.812,-46.9524655533605,4.02026790780438,46.9524655533605,56.3276842731702,-1.20534109350577,0.680184135044569,7.94382934247387,9.2564288911821
"log-log OLS (Baskerville-Sprugel)",0.0679124922942159,0.0109519391564945,2.4704277293438,0.064920321456372,NA,1.00287830518316,2.24134592730955,5.54438439069041,3.66555722516621,9.06743489024449,0.986280875421941,"western larch","wood",13,6.858,19.812,-24.4392755808362,9.87970294438438,24.4392755808362,32.4465337518652,0.27139487938931,2.76897831392248,6.8495808499764,11.4437130108316
"weighted NLS (DBH^2c)",0.0656888031156964,0.0110946020250251,2.4842589014363,0.0725291769728295,3.25863720972555,NA,2.17224614753163,5.37345328374579,3.6981266911134,9.14800149819665,0.986035996069825,"western larch","wood",13,6.858,19.812,-24.4392755808362,9.87970294438438,24.4392755808362,32.4465337518652,0.27139487938931,2.76897831392248,6.8495808499764,11.4437130108316
"log-log OLS (Baskerville-Sprugel)",0.107008816708536,0.0167075390497997,2.39085359951679,0.0628539001228119,NA,1.00269774478349,2.67831671893097,5.20342135073496,3.9328676022525,7.64075701224114,0.989704873864765,"western larch","total",13,6.858,19.812,-8.74420558895467,4.72253196039,9.17491327987148,14.9217082001428,0.0556210518202794,3.26164973188687,6.33671803396472,9.49213774136229
"weighted NLS (DBH^2c)",0.107081310840817,0.0175040258090554,2.39040337344591,0.06327499419957,1.90456246982331,NA,2.68318859561651,5.21288641025704,3.9326787428115,7.64039009699148,0.989705862601371,"western larch","total",13,6.858,19.812,-8.74420558895467,4.72253196039,9.17491327987148,14.9217082001428,0.0556210518202794,3.26164973188687,6.33671803396472,9.49213774136229
